N,Time
4111,0.033342
4121,0.033534
4131,0.032524
4141,0.033192
4151,0.034061
4161,0.034027
4171,0.033094
4181,0.036029
4191,0.036756
4201,0.035664
4211,0.034373
4221,0.033505
4231,0.034289
4241,0.035223
4251,0.034107
4261,0.034846
4271,0.036329
4281,0.034822
4291,0.034639
4301,0.034426
4311,0.034486
4321,0.034919
4331,0.036272
4341,0.035424
4351,0.035902
4361,0.034615
4371,0.036652
4381,0.035271
4391,0.034502
4401,0.035825
4411,0.035950
4421,0.037033
4431,0.035743
4441,0.035789
4451,0.036567
4461,0.036362
4471,0.036493
4481,0.036795
4491,0.037828
4501,0.037856
4511,0.037556
4521,0.038251
4531,0.036973
4541,0.036795
4551,0.037814
4561,0.037003
4571,0.037738
4581,0.039185
4591,0.037484
4601,0.037091
4611,0.037496
4621,0.037714
4631,0.039536
4641,0.037144
4651,0.039984
4661,0.038881
4671,0.037219
4681,0.040067
4691,0.037963
4701,0.038887
4711,0.040105
4721,0.039469
4731,0.037603
4741,0.040176
4751,0.039401
4761,0.039479
4771,0.040734
4781,0.038688
4791,0.039006
4801,0.039706
4811,0.040434
4821,0.039934
4831,0.038902
4841,0.040876
4851,0.041479
4861,0.041242
4871,0.039868
4881,0.040697
4891,0.040647
4901,0.041876
4911,0.040219
4921,0.040087
4931,0.040292
4941,0.040259
4951,0.038771
4961,0.040543
4971,0.040865
4981,0.042250
4991,0.040543
5001,0.042312
5011,0.039984
5021,0.040539
5031,0.042661
5041,0.042927
5051,0.039947
5061,0.041324
5071,0.041137
5081,0.041610
5091,0.040403
5101,0.041492
5111,0.042877
5121,0.043174
5131,0.041100
5141,0.041461
5151,0.042085
5161,0.041535
5171,0.042206
5181,0.041318
5191,0.041003
5201,0.043772
5211,0.043158
5221,0.042981
5231,0.041656
5241,0.041682
5251,0.042770
5261,0.042625
5271,0.042645
5281,0.041979
5291,0.042868
5301,0.043830
5311,0.043372
5321,0.041690
5331,0.043220
5341,0.044580
5351,0.043820
5361,0.044755
5371,0.044229
5381,0.044447
5391,0.042235
5401,0.045611
5411,0.043955
5421,0.043268
5431,0.043959
5441,0.043494
5451,0.044159
5461,0.044359
5471,0.045523
5481,0.044239
5491,0.045927
5501,0.043473
5511,0.044600
5521,0.045196
5531,0.046336
5541,0.043967
5551,0.044836
5561,0.045305
5571,0.046424
5581,0.044508
5591,0.046461
5601,0.045530
5611,0.046814
5621,0.044273
5631,0.047159
5641,0.044860
5651,0.048023
5661,0.044681
5671,0.047726
5681,0.045270
5691,0.047624
5701,0.044728
5711,0.044912
5721,0.046623
5731,0.046289
5741,0.047330
5751,0.044843
5761,0.047040
5771,0.046452
5781,0.046440
5791,0.046202
5801,0.047250
5811,0.047102
5821,0.046759
5831,0.047095
5841,0.047133
5851,0.047940
5861,0.046265
5871,0.046449
5881,0.048515
5891,0.047195
5901,0.046355
5911,0.047095
5921,0.048322
5931,0.047294
5941,0.048096
5951,0.047020
5961,0.046923
5971,0.048461
5981,0.047854
5991,0.047469
6001,0.047769
6011,0.047407
6021,0.047766
6031,0.048444
6041,0.048782
6051,0.048151
6061,0.048140
6071,0.047967
6081,0.048105
6091,0.048090
6101,0.049774
6111,0.049050
6121,0.048602
6131,0.048723
6141,0.049021
6151,0.049580
6161,0.049787
6171,0.050940
6181,0.051289
6191,0.048579
6201,0.049837
6211,0.049262
6221,0.051659
6231,0.051103
6241,0.050291
6251,0.050327
6261,0.051866
6271,0.049984
6281,0.051508
6291,0.049791
6301,0.051280
6311,0.050789
6321,0.051086
6331,0.052336
6341,0.052899
6351,0.050840
6361,0.051199
6371,0.050827
6381,0.051707
6391,0.052158
6401,0.051696
6411,0.051963
6421,0.052906
6431,0.052063
6441,0.051089
6451,0.051784
6461,0.051887
6471,0.052096
6481,0.051343
6491,0.052412
6501,0.052619
6511,0.052655
6521,0.053758
6531,0.051817
6541,0.053421
6551,0.051950
6561,0.053001
6571,0.052070
6581,0.053160
6591,0.053105
6601,0.053579
6611,0.052758
6621,0.052624
6631,0.054436
6641,0.053498
6651,0.053989
6661,0.054027
6671,0.055097
6681,0.054281
6691,0.054211
6701,0.053743
6711,0.054185
6721,0.053315
6731,0.053261
6741,0.054150
6751,0.054388
6761,0.054198
6771,0.054064
6781,0.053639
6791,0.054267
6801,0.053676
6811,0.054402
6821,0.054729
6831,0.054894
6841,0.054969
6851,0.054794
6861,0.054598
6871,0.054732
6881,0.055606
6891,0.055171
6901,0.056302
6911,0.054896
6921,0.054768
6931,0.055179
6941,0.054790
6951,0.055872
6961,0.056024
6971,0.055545
6981,0.054706
6991,0.055253
7001,0.055583
7011,0.055349
7021,0.055525
7031,0.055990
7041,0.056751
7051,0.055737
7061,0.057028
7071,0.056473
7081,0.056246
7091,0.055965
7101,0.057028
7111,0.055655
7121,0.056270
7131,0.056261
7141,0.056853
7151,0.056269
7161,0.056906
7171,0.056764
7181,0.056554
7191,0.057731
7201,0.057022
7211,0.057249
7221,0.058190
7231,0.057130
7241,0.058195
7251,0.057753
7261,0.057124
7271,0.058505
7281,0.058425
7291,0.057952
7301,0.057486
7311,0.058340
7321,0.058041
7331,0.058459
7341,0.057699
7351,0.058761
7361,0.059051
7371,0.058967
7381,0.058944
7391,0.059759
7401,0.059340
7411,0.058865
7421,0.059344
7431,0.059623
7441,0.059714
7451,0.059318
7461,0.059851
7471,0.059499
7481,0.060697
7491,0.058556
7501,0.059997
7511,0.060171
7521,0.060011
7531,0.060290
7541,0.060512
7551,0.060189
7561,0.060529
7571,0.060088
7581,0.062817
7591,0.060404
7601,0.063400
7611,0.060690
7621,0.061439
7631,0.061038
7641,0.060604
7651,0.061239
7661,0.061193
7671,0.061657
7681,0.061873
7691,0.061441
7701,0.061240
7711,0.061876
7721,0.061826
7731,0.061471
7741,0.061581
7751,0.062555
7761,0.063922
7771,0.062067
7781,0.062177
7791,0.061714
7801,0.063087
7811,0.062989
7821,0.062250
7831,0.061815
7841,0.062384
7851,0.062803
7861,0.063578
7871,0.062199
7881,0.063249
7891,0.063085
7901,0.063688
7911,0.063593
7921,0.063691
7931,0.064248
7941,0.063773
7951,0.063896
7961,0.064028
7971,0.065694
7981,0.063678
7991,0.064790
8001,0.064158
8011,0.064408
8021,0.064737
8031,0.064476
8041,0.065223
8051,0.064788
8061,0.063868
8071,0.064556
8081,0.064398
8091,0.064536
8101,0.065950
8111,0.064391
8121,0.065420
8131,0.064232
8141,0.064314
8151,0.064205
8161,0.064490
8171,0.065914
8181,0.064679
8191,0.064638
8201,0.065213
8211,0.065615
8221,0.064613
8231,0.066844
8241,0.068259
8251,0.066708
8261,0.065494
8271,0.066459
8281,0.065468
8291,0.066530
8301,0.065947
8311,0.066249
8321,0.066764
8331,0.067044
8341,0.066188
8351,0.066219
8361,0.066159
8371,0.066628
8381,0.067433
8391,0.068713
8401,0.066674
8411,0.066636
8421,0.068552
8431,0.066155
8441,0.066959
8451,0.067253
8461,0.067073
8471,0.068047
8481,0.067091
8491,0.068397
8501,0.067684
8511,0.067101
8521,0.068177
8531,0.067566
8541,0.067804
8551,0.068584
8561,0.069548
8571,0.067748
8581,0.067771
8591,0.069978
8601,0.067541
8611,0.068863
8621,0.068875
8631,0.070757
8641,0.068224
8651,0.070132
8661,0.068456
8671,0.069291
8681,0.069066
8691,0.068827
8701,0.068659
8711,0.068805
8721,0.068272
8731,0.070723
8741,0.069694
8751,0.070054
8761,0.069276
8771,0.069388
8781,0.069750
8791,0.071540
8801,0.072086
8811,0.071360
8821,0.069432
8831,0.069502
8841,0.070886
8851,0.070292
8861,0.070510
8871,0.071446
8881,0.071846
8891,0.070386
8901,0.070909
8911,0.071659
8921,0.070529
8931,0.073157
8941,0.071142
8951,0.071173
8961,0.072405
8971,0.071929
8981,0.070985
8991,0.071297
9001,0.071330
9011,0.071364
9021,0.070788
9031,0.071838
9041,0.071414
9051,0.072247
9061,0.071797
9071,0.072757
9081,0.072028
9091,0.072180
9101,0.072450
9111,0.072801
9121,0.072500
9131,0.071848
9141,0.072721
9151,0.072859
9161,0.071390
9171,0.072159
9181,0.072433
9191,0.073103
9201,0.073334
9211,0.073072
9221,0.074328
9231,0.073501
9241,0.073171
9251,0.073551
9261,0.074974
9271,0.075126
9281,0.074100
9291,0.074732
9301,0.073594
9311,0.073773
9321,0.075697
9331,0.076523
9341,0.074578
9351,0.073899
9361,0.073042
9371,0.074424
9381,0.074024
9391,0.076653
9401,0.074981
9411,0.077686
9421,0.075522
9431,0.075076
9441,0.075226
9451,0.075258
9461,0.076127
9471,0.075232
9481,0.076671
9491,0.075448
9501,0.077269
9511,0.075758
9521,0.076402
9531,0.076446
9541,0.076134
9551,0.075419
9561,0.077186
9571,0.076780
9581,0.075745
9591,0.076147
9601,0.077083
9611,0.077270
9621,0.075859
9631,0.076797
9641,0.076748
9651,0.077222
9661,0.076813
9671,0.077491
9681,0.077189
9691,0.076948
9701,0.077273
9711,0.076755
9721,0.076991
9731,0.077620
9741,0.076662
9751,0.078709
9761,0.077912
9771,0.077452
9781,0.078772
9791,0.078184
9801,0.077718
9811,0.079624
9821,0.077992
9831,0.078190
9841,0.077600
9851,0.078213
9861,0.077731
9871,0.078643
